Site_ID,Site,C_DEM,C_Slope,C_Acos,C_Asin,C_Rusle,C_RusLog,C_FlDep,C_FlDist,C_x,C_y
SITE_0069,Rodostitsa Fortress,-0.674011661816000,-0.711856214637000,0.041422871082500,1.218187219240000,-0.546685005128000,-1.230416003190000,-0.044811071419600,-0.846162653594000,0.014755799990000,-0.116731273440000
SITE_0070,Villa Armira,-0.456627810735000,-0.683142232099000,-0.823486403729000,-0.555908985920000,-0.170366568174000,-0.311908928912000,-0.044811071419600,-0.209468023864000,0.012708909794900,-0.127503247756000
SITE_0071,Castra Rubra,-0.419850040837000,-0.570148495706000,-0.407930889772000,0.069297263205900,0.222765049843000,0.346280236364000,-0.044811071419600,-0.268255741810000,0.012235110785100,-0.045803961006800
SITE_0072,Kapitan Petko Voyvoda mound I,-0.348799521853000,0.127036833611000,0.190325451510000,-0.433836279880000,-0.031237232357400,0.515509163798000,-0.044811071419600,-0.465268478504000,0.034000852757400,-0.018003763332700
SITE_0073,Sanctuary of Nymphs and Aphrodite,-0.583116623433000,-0.380067039413000,1.375856325710000,0.030635992989100,0.638856066585000,1.639610263340000,-0.044811071419600,-0.247218602698000,-0.025660954960100,-0.031252134829700
SITE_0074,Fortress Klokotnitsa,-0.415046526236000,0.464444035744000,-0.858744903122000,0.505596862029000,-0.524314090215000,-1.102478140770000,-0.044811071419600,0.089186889443700,-0.026933072442500,-0.037019456463000
SITE_0075,Fortified ruling house,-0.674660311947000,-0.489915711485000,-0.974651942955000,-0.004782709611510,-0.310776170484000,-0.415765443641000,-0.044811071419600,-0.865555168234000,0.038363979808100,-0.011962671927500
SITE_0076,Dolmen Mangura,1.188096720010000,-0.499928446652000,0.065392465754100,-0.856641119512000,-0.541851823039000,-1.223655337080000,-0.044811071419600,0.578747630802000,0.024096073996300,-0.032546334264000
SITE_0077,Dolmen Starite Loza,1.179504927600000,-0.479803407753000,0.317513289279000,-1.154539546520000,-0.546474240030000,-1.161536427540000,-0.044811071419600,0.595464026818000,0.023966701769400,-0.032732326899300
SITE_0078,Hambar Kaya II,0.105710227030000,3.576650841050000,-0.839685524016000,-0.527231125665000,-0.515779983932000,-1.046836253750000,-0.044811071419600,-0.828142698461000,-0.004891176599480,-0.097731549064900
SITE_0079,Deaf Stones Church,0.753651485657000,0.954865025863000,-0.905250072157000,-0.390078527703000,-0.536443591130000,-1.185245132590000,-0.044811071419600,-0.239487327023000,0.003165615934340,-0.084219948875200
