Cluster,Run_ID,Criterion_Row,Criterion_Column,Direction,Base_IOI,Perturbed_IOI,Site_ID,Site,Excluded_Criteria,Baseline_Applicable_Weight_Sum,Alternative_Applicable_Weight_Sum,Baseline_WLC,Alternative_WLC,Baseline_Class,Alternative_Class,Class_Changed
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0148,Bona Mansio,,1.0,1.0,3.5270356428477005,3.2507970217814934,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0149,Tell Yunatsite,,1.0,1.0,5.709523035547494,5.498192582837731,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0152,Bachkovo Monastery,,1.0,1.0,4.558204659770848,4.337121507653213,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0153,Church of St. George Metokha,Soil Erosion,0.9119060157463934,0.912828568393084,4.695076629854868,4.382082468076091,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0155,Stanimaka Fortress ruins,Soil Erosion,0.9119060157463934,0.912828568393084,3.984051389176048,3.6766847114547723,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0159,Hisarya Basilica 1,Soil Erosion,0.9119060157463934,0.912828568393084,2.6610852470002784,2.507086668693011,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0160,Hisarya Basilica 3,Soil Erosion,0.9119060157463934,0.912828568393084,2.6610852470002784,2.507086668693011,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0161,Hisarya Basilica 8,Soil Erosion,0.9119060157463934,0.912828568393084,2.6610852470002784,2.507086668693011,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0162,Hisarya Fortress walls,Soil Erosion,0.9119060157463934,0.912828568393084,2.28897475932118,2.1373735608554565,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0166,Maltepe,,1.0,1.0,5.079085642956057,4.872499746714989,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0167,Red Church,,1.0,1.0,4.042553403591808,3.7626245719388383,Moderate,Low,True
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0169,Domus Eirene,Soil Erosion,0.9119060157463934,0.912828568393084,4.934111395497506,4.792830988572912,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0170,East Gate Philippopolis,Soil Erosion,0.9119060157463934,0.912828568393084,5.001298513031472,4.859083929533007,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0171,Episcopal Great Basilica,Soil Erosion,0.9119060157463934,0.912828568393084,5.2390347656426375,5.0962911554503725,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0172,Hellenistic buildings,Soil Erosion,0.9119060157463934,0.912828568393084,5.983255741000834,5.835717371125481,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0173,Hisarya Kapia,Soil Erosion,0.9119060157463934,0.912828568393084,5.001298513031472,4.859083929533007,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0175,Minor Basilica,Soil Erosion,0.9119060157463934,0.912828568393084,5.306221883176605,5.162544096410467,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0176,Nebet Tepe,Soil Erosion,0.9119060157463934,0.912828568393084,5.001298513031472,4.859083929533007,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0177,Outer Fortress wall of Philippopolis,Soil Erosion,0.9119060157463934,0.912828568393084,5.001298513031472,4.859083929533007,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0178,Peristyle building and street intersection,Soil Erosion,0.9119060157463934,0.912828568393084,4.934111395497506,4.792830988572912,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0179,Philippopolis Roman Baths I,Soil Erosion,0.9119060157463934,0.912828568393084,4.934111395497506,4.792830988572912,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0180,Remains of Fortress wall of Philippopolis,Soil Erosion,0.9119060157463934,0.912828568393084,4.934111395497506,4.792830988572912,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0181,Roman Forum of Philippopolis,Soil Erosion,0.9119060157463934,0.912828568393084,4.86692427796354,4.726578047612818,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0182,Roman Stadium of Philippopolis,Soil Erosion,0.9119060157463934,0.912828568393084,4.934111395497506,4.792830988572912,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0183,Spas Bair hill,,1.0,1.0,4.290935529940036,4.087776257815246,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0186,Horizon mound,,1.0,1.0,3.193413213880925,3.0506811401143685,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0187,Royal tomb,,1.0,1.0,4.465347315679863,4.311544610153019,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0188,Church of St. Nicholas,Soil Erosion,0.9119060157463934,0.912828568393084,5.306221883176605,5.162544096410467,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0189,Chintulovo mound,,1.0,1.0,3.0296793292287827,2.95185542381867,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0190,Nanchovata Mogila,,1.0,1.0,3.2671356343958795,3.1866758642809367,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0191,Dyadovo settlement,Soil Erosion,0.9119060157463934,0.912828568393084,3.577300262126624,3.659662521990858,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0192,Kaloyanovo Mound I,,1.0,1.0,3.8651813132396704,3.8604367567709756,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0193,Kaloyanovo Mound II,,1.0,1.0,3.8651813132396704,3.8604367567709756,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0194,Kaloyanovo Mound III,,1.0,1.0,4.041369281746883,4.034779619984808,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0195,Kaloyanovo Tumulus,,1.0,1.0,4.041369281746883,4.034779619984808,Moderate,Moderate,False
