Cluster,Run_ID,Criterion_Row,Criterion_Column,Direction,Base_IOI,Perturbed_IOI,Base_CR,Alternative_CR,CR_Accepted,Weight_Seismic,Weight_Wildfire,Weight_Flood,Weight_Soil_Erosion,Weight_Landslide,Weight_Asset_Vulnerability,Sites_Analyzed,Sites_Changing_Class,Site_Class_Change_Pct,OCR_Chen,OCR_Note,Base_Very_Low,Base_Low,Base_Moderate,Base_High,Base_Very_High,Alt_Very_Low,Alt_Low,Alt_Moderate,Alt_High,Alt_Very_High
2,C2_R08,Seismic,Landslide,up,1/3,1/2,0.06013656358610097,0.048614066595367725,True,0.28717752646548705,0.15045615178743277,0.038229085363465365,0.038229085363465365,0.40319136121933724,0.08271678980081222,41,5,12.195121951219512,1.0344827586206895,,0,4,29,8,0,0,7,28,6,0
2,C2_R09,Seismic,Asset Vulnerability,down,5,4,0.06013656358610097,0.056798449073554885,True,0.2591181251620949,0.15107247488188527,0.038061015453852896,0.038061015453852896,0.4290509266983722,0.0846364423499419,41,0,0.0,0.0,,0,4,29,8,0,0,4,29,8,0
2,C2_R10,Seismic,Asset Vulnerability,up,5,6,0.06013656358610097,0.06440541041590456,True,0.2747634663871698,0.1466006832438848,0.03762722292221374,0.03762722292221374,0.42305493169170805,0.0803264728328099,41,0,0.0,0.0,,0,4,29,8,0,0,4,29,8,0
2,C2_R11,Wildfire,Flood,down,5,4,0.06013656358610097,0.05810280145596226,True,0.2693619595013517,0.14287217439525865,0.03897080811849878,0.038119019362110367,0.42763491677207716,0.08304112185070339,41,0,0.0,0.0,,0,4,29,8,0,0,4,29,8,0
2,C2_R12,Wildfire,Flood,up,5,6,0.06013656358610097,0.0632928168825251,True,0.2657430548561313,0.15403302260530596,0.03699584262232791,0.03756858030846766,0.424308723039705,0.08135077656806217,41,0,0.0,0.0,,0,4,29,8,0,0,4,29,8,0
2,C2_R13,Wildfire,Soil Erosion,down,5,4,0.06013656358610097,0.05810280145596226,True,0.2693619595013517,0.14287217439525865,0.038119019362110367,0.03897080811849878,0.42763491677207716,0.08304112185070339,41,0,0.0,0.0,,0,4,29,8,0,0,4,29,8,0
2,C2_R14,Wildfire,Soil Erosion,up,5,6,0.06013656358610097,0.0632928168825251,True,0.2657430548561313,0.15403302260530596,0.03756858030846766,0.03699584262232791,0.424308723039705,0.08135077656806217,41,0,0.0,0.0,,0,4,29,8,0,0,4,29,8,0
2,C2_R15,Wildfire,Landslide,down,1/5,1/6,0.06013656358610097,0.06636379056885586,True,0.2631868531149107,0.14458043954446834,0.037713476875190985,0.037713476875190985,0.43489590033224695,0.08190985325799215,41,0,0.0,0.0,,0,4,29,8,0,0,4,29,8,0
2,C2_R16,Wildfire,Landslide,up,1/5,1/4,0.06013656358610097,0.054486897754043626,True,0.272728079018962,0.15428573950506339,0.03794175289425828,0.03794175289425828,0.41468358164783364,0.0824190940396245,41,2,4.878048780487805,0.31896551724137934,,0,4,29,8,0,0,4,31,6,0
2,C2_R17,Wildfire,Asset Vulnerability,down,3,2,0.06013656358610097,0.05200081065524773,True,0.2708035859909647,0.1387074658898825,0.03805409719893803,0.03805409719893803,0.4286750266761872,0.08570572704508958,41,0,0.0,0.0,,0,4,29,8,0,0,4,29,8,0
