Site_ID,Site,Cluster_3,SEIS_SCR,FWI_SCR,FLOOD_SCR,RUSLE_SCR,ELSUS_SCR,ASSET_SCR,Rusle_MTH,ELSUS_MTH,Material_general,WLC_RISK2
SITE_0120,Sivri Kaya niches,3,7,1,1,9,9,5,Direct,Direct,Rock-cut / bedrock construction,7.132481
SITE_0121,Arkata,3,3,9,5,1,7,5,Direct,Direct,Rock-cut / bedrock construction,5.481237
SITE_0122,Gouk in cave,3,3,9,5,1,5,5,Direct,Direct,Rock-cut / bedrock construction,4.559105
SITE_0123,Pop Martinova Dypka,3,3,9,5,1,9,5,Direct,Direct,Rock-cut / bedrock construction,6.403369
SITE_0124,Ada Tepe,2,3,9,1,1,7,9,Direct,Direct,Earthwork / earthen architecture,5.937663
SITE_0125,Redestyuk Fortress,2,3,9,1,1,3,1,Direct,Direct,Mortared stone masonry,3.576511
SITE_0126,Tatul,2,3,9,1,1,7,3,Direct,Direct,Mortared mixed masonry (stone + brick),5.444676
SITE_0127,Ustra,2,3,5,1,1,9,1,Direct,Direct,Mortared stone masonry,5.537479
SITE_0128,Vishegrad Fortress,1,3,9,5,9,7,1,Direct,Direct,Mortared stone masonry,5.509218
SITE_0129,Hambar Kaya,2,3,5,1,1,9,7,Direct,Direct,Earthwork (earthen burial mound),6.030466
SITE_0130,Asar Kaya niches,3,7,3,1,5,9,5,Direct,Direct,Rock-cut / bedrock construction,6.916798
SITE_0131,Mal Asar,2,3,5,1,1,9,7,Direct,Direct,Earthwork / early stone construction,6.030466
SITE_0132,Sredna Arda Rock cut niches,3,3,9,7,5,7,5,Direct,Near≤400m,Rock-cut / bedrock construction,5.988944
SITE_0133,Shan Kaya,3,3,9,1,1,7,5,Direct,Direct,Rock-cut / bedrock construction,5.328559
SITE_0134,Belovo Basilica,2,9,1,1,1,7,3,Direct,Direct,Mortared mixed masonry (stone + brick),5.860170
SITE_0135,St. Spas Basilica,2,9,1,1,1,7,3,Direct,Direct,Mortared mixed masonry (stone + brick),5.860170
SITE_0136,Roman bridge Bratsigovo,2,7,1,1,1,7,1,Direct,Direct,Mortared stone masonry,5.160820
SITE_0137,Dzhenevra,2,7,1,1,1,7,1,Direct,Direct,Mortared stone masonry,5.160820
SITE_0138,Pashino Bardo,2,7,1,1,1,7,1,Direct,Direct,Mortared stone masonry,5.160820
SITE_0139,Tsepina,2,9,1,1,1,9,1,Direct,Direct,Mortared stone masonry,6.547759
SITE_0140,Church of St. Dimitar,1,9,1,1,,7,3,Urban excl.,Direct,Mortared mixed masonry (stone + brick),4.765243
SITE_0141,Peristera Fortress,1,7,1,1,,1,1,Urban excl.,Direct,Mortared stone masonry,2.933462
SITE_0142,Kulata Gradot,2,9,1,1,1,7,1,Direct,Direct,Mortared stone masonry,5.695841
SITE_0143,The tower Kalinkata,2,9,1,1,1,7,1,Direct,Direct,Mortared stone masonry,5.695841
