Site_ID,Site,C_DEM,C_Slope,C_Acos,C_Asin,C_RusLog,C_FlDist,C_x,C_y,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7
SITE_0077,Dolmen Starite Loza,1.1795049276,-0.479803407753,0.317513289279,-1.15453954652,-1.16153642754,0.595464026818,0.0239667017694,-0.0327323268993,2,2,3,4,5
SITE_0078,Hambar Kaya II,0.10571022703,3.57665084105,-0.839685524016,-0.527231125665,-1.04683625375,-0.828142698461,-0.00489117659948,-0.0977315490649,3,3,4,5,6
SITE_0079,Deaf Stones Church,0.753651485657,0.954865025863,-0.905250072157,-0.390078527703,-1.18524513259,-0.239487327023,0.00316561593434,-0.0842199488752,2,2,3,4,5
SITE_0080,Bukelon Fortress,-0.445368373659,-0.311356714734,-0.584791924138,0.638886960494,0.492829421347,-0.762010762515,0.0415214168203,-0.0611557527868,1,1,2,2,2
SITE_0081,Matochina Rock Church,-0.496500370525,-0.0526838149561,-0.0571310652814,-1.08116101448,-0.461180387552,-0.614673502719,0.0405536070004,-0.063035927998,1,1,2,2,2
SITE_0082,Merichleri mound I,-0.387800009441,0.466235268116,-0.834217036205,-0.446578213942,0.0,-0.677697064118,-0.026518545167,-0.0124428486624,1,1,2,2,2
SITE_0083,Merichleri mound II,-0.40213693396,-0.985157317321,-0.133617437848,-0.959218823866,0.0,-0.670497839503,-0.0263871951027,-0.0124315853329,1,1,2,2,2
SITE_0084,Merichleri mound III,-0.400509880646,-1.13762484177,0.688045842483,-0.655901420296,0.0,-0.661380530522,-0.026237816551,-0.0124128131171,1,1,2,2,2
SITE_0085,Mezek Tumulus,-0.461788302185,-0.418120987514,0.190142070495,0.434115189179,-0.101129849894,-0.326371113707,0.0126796951058,-0.0830618202434,1,1,2,2,2
SITE_0086,Neutzikon Fortress,-0.358180229268,-0.698497663994,1.01158206793,0.785276617286,-1.23403922075,-0.244768396883,0.0115145594814,-0.0825898625708,1,1,2,2,2
SITE_0087,Mihalich Rock Church,0.0217339156931,0.701450392678,-0.630611075731,-0.846510993315,1.86608776806,0.212040298123,0.0336470220118,-0.0617373375811,3,3,4,5,6
SITE_0088,Dolmen Bayamluka,0.0932191047955,-0.815811557446,-0.248188913248,1.20512045844,-0.78180993792,0.315957085987,0.0190355169186,-0.0434777558379,1,1,2,2,2
SITE_0089,Orlovo Town,-0.409368111608,-1.13969180783,-0.717991265424,0.397055629673,-1.00217337179,0.502640197944,-0.0243757802206,-0.0647599216384,1,1,2,2,2
